ID,sec14,sec15,sec16,sec17
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,1.25,1,1,1.33333333333333
4,NA,1.75,2.33333333333333,3
5,2,2,1.33333333333333,3.66666666666667
6,2,2,1.33333333333333,2.66666666666667
7,2,2,2,3
8,2,2,2,3.33333333333333
9,2,2,1.66666666666667,2.33333333333333
10,2,1.75,2,3.33333333333333
11,2,2,1.33333333333333,2
12,2.25,2,1.33333333333333,2
13,1.25,1,1,1.33333333333333
14,1,1,1,1
15,NA,NA,NA,NA
16,1,1,1,1
17,NA,NA,NA,NA
18,1,1,1,1
19,2,2,1.66666666666667,2.66666666666667
20,2,2,3,2.66666666666667
21,NA,NA,NA,NA
22,1,1,1,1
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,1,1,NA,1
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,1,1,1,1
46,1,1,1,1
47,1.25,1.25,1,1
48,1,1,1,1
49,1.25,1.25,2,1.33333333333333
50,1,1.25,1.66666666666667,1.33333333333333
51,NA,NA,1.66666666666667,NA
52,NA,NA,1,NA
53,NA,NA,1,NA
54,NA,NA,1,NA
55,NA,NA,1,NA
56,NA,NA,1,NA
57,NA,NA,1,NA
58,NA,NA,1.66666666666667,NA
59,NA,NA,1,NA
60,NA,NA,1.66666666666667,NA
61,NA,NA,1,NA
62,NA,NA,1,NA
63,1.25,1,1,1
64,1,1,1.33333333333333,1
65,1,1,1,1
66,1,1,1,1
67,NA,1.75,3,3.66666666666667
68,NA,1.75,2,1
69,NA,1,1.66666666666667,2
70,NA,1,1.66666666666667,1
71,NA,1.25,2.33333333333333,3
72,2,2.25,3.33333333333333,2.33333333333333
73,2,1.75,2.33333333333333,2
74,2,2.25,2.33333333333333,2
75,2,2.5,2.33333333333333,2
76,1,NA,NA,1.33333333333333
77,NA,NA,NA,NA
78,1,1,1.33333333333333,1.33333333333333
79,NA,NA,NA,NA
80,1,1,1,1
81,2.5,NA,NA,NA
82,3,3,2.33333333333333,2
83,1,1,1,1
84,1,1,1,1
85,NA,NA,1,NA
86,1,1,1,1
87,NA,NA,1,NA
88,NA,NA,1,NA
89,NA,NA,1,NA
90,NA,NA,1,NA
91,1,1,1,1
92,1,1,1,1
93,1.5,1,1,1
94,NA,NA,1,NA
95,NA,NA,1,NA
96,1,1,1,1
