Area Code,Area,Item Code,Item,Months Code,Months,Unit,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","52.405887","F","base year is 2015","51.570550","F","base year is 2015","53.704794","F","base year is 2015","54.778960","F","base year is 2015","57.245406","F","base year is 2015","58.374206","X","base year is 2015","57.553738","X","base year is 2015","59.673280","X","base year is 2015","64.680240","X","base year is 2015","69.503120","X","base year is 2015","74.862460","X","base year is 2015","77.039856","X","base year is 2015","83.782421","X","base year is 2015","92.555119","X","base year is 2015","93.848935","X","base year is 2015","99.139902","X","base year is 2015","101.112182","X","base year is 2015","108.044086","X","base year is 2015","110.005846","X","base year is 2015","111.489000","X","base year is 2015","110.168888","X","base year is 2015","114.518421","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","52.312964","F","base year is 2015","51.757371","F","base year is 2015","53.784004","F","base year is 2015","54.981818","F","base year is 2015","57.480413","F","base year is 2015","58.095457","X","base year is 2015","57.111947","X","base year is 2015","60.172924","X","base year is 2015","65.753160","X","base year is 2015","71.328136","X","base year is 2015","75.435736","X","base year is 2015","77.492166","X","base year is 2015","86.648801","X","base year is 2015","91.813543","X","base year is 2015","92.444672","X","base year is 2015","99.376576","X","base year is 2015","99.192497","X","base year is 2015","106.382112","X","base year is 2015","107.896822","X","base year is 2015","110.021624","X","base year is 2015","108.438542","X","base year is 2015","115.254739","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","52.220040","F","base year is 2015","51.944192","F","base year is 2015","53.863214","F","base year is 2015","55.184676","F","base year is 2015","57.715419","F","base year is 2015","58.700289","X","base year is 2015","58.495172","X","base year is 2015","61.182731","X","base year is 2015","67.856924","X","base year is 2015","72.958553","X","base year is 2015","76.266723","X","base year is 2015","77.776174","X","base year is 2015","88.852494","X","base year is 2015","92.923278","X","base year is 2015","93.470257","X","base year is 2015","100.249638","X","base year is 2015","101.154257","X","base year is 2015","108.328094","X","base year is 2015","109.416792","X","base year is 2015","112.004422","X","base year is 2015","111.126101","X","base year is 2015","119.451749","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","52.127117","F","base year is 2015","52.131014","F","base year is 2015","53.942423","F","base year is 2015","55.387534","F","base year is 2015","57.950426","F","base year is 2015","59.142080","X","base year is 2015","59.988845","X","base year is 2015","60.583158","X","base year is 2015","67.867443","X","base year is 2015","73.295155","X","base year is 2015","74.620527","X","base year is 2015","77.844546","X","base year is 2015","90.198903","X","base year is 2015","92.023919","X","base year is 2015","92.150145","X","base year is 2015","98.940045","X","base year is 2015","102.863566","X","base year is 2015","108.832997","X","base year is 2015","110.652754","X","base year is 2015","111.809824","X","base year is 2015","111.709895","X","base year is 2015","122.591617","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","52.034193","F","base year is 2015","52.317835","F","base year is 2015","54.021633","F","base year is 2015","55.590393","F","base year is 2015","58.185433","F","base year is 2015","57.311805","X","base year is 2015","59.683799","X","base year is 2015","59.941510","X","base year is 2015","67.499284","X","base year is 2015","69.550455","X","base year is 2015","76.287760","X","base year is 2015","78.870131","X","base year is 2015","87.774315","X","base year is 2015","90.582840","X","base year is 2015","92.455191","X","base year is 2015","99.350279","X","base year is 2015","103.226465","X","base year is 2015","107.612814","X","base year is 2015","114.776132","X","base year is 2015","113.051045","X","base year is 2015","114.008258","X","base year is 2015","121.776408","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","51.941270","F","base year is 2015","52.504656","F","base year is 2015","54.100843","F","base year is 2015","55.793251","F","base year is 2015","58.420439","F","base year is 2015","56.549190","X","base year is 2015","59.005335","X","base year is 2015","62.092609","X","base year is 2015","66.110800","X","base year is 2015","69.750312","X","base year is 2015","76.492877","X","base year is 2015","78.344190","X","base year is 2015","86.775027","X","base year is 2015","91.871396","X","base year is 2015","95.805436","X","base year is 2015","100.028743","X","base year is 2015","105.919284","X","base year is 2015","107.875785","X","base year is 2015","117.079754","X","base year is 2015","111.909753","X","base year is 2015","113.824179","X","base year is 2015","120.156510","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","51.848346","F","base year is 2015","52.691477","F","base year is 2015","54.180053","F","base year is 2015","55.996109","F","base year is 2015","58.655446","F","base year is 2015","55.066036","X","base year is 2015","57.658926","X","base year is 2015","63.044563","X","base year is 2015","65.011583","X","base year is 2015","71.638441","X","base year is 2015","74.283925","X","base year is 2015","79.369775","X","base year is 2015","87.847946","X","base year is 2015","91.519015","X","base year is 2015","95.090156","X","base year is 2015","97.509485","X","base year is 2015","104.462427","X","base year is 2015","104.341460","X","base year is 2015","111.820343","X","base year is 2015","109.174859","X","base year is 2015","109.863842","X","base year is 2015","121.402990","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","51.755423","F","base year is 2015","52.878299","F","base year is 2015","54.259263","F","base year is 2015","56.198967","F","base year is 2015","58.890453","F","base year is 2015","54.908254","X","base year is 2015","58.531988","X","base year is 2015","63.649395","X","base year is 2015","67.178460","X","base year is 2015","74.126142","X","base year is 2015","76.876815","X","base year is 2015","82.357121","X","base year is 2015","89.904376","X","base year is 2015","93.028467","X","base year is 2015","95.537206","X","base year is 2015","99.050492","X","base year is 2015","104.483464","X","base year is 2015","108.133496","X","base year is 2015","112.504066","X","base year is 2015","111.304921","X","base year is 2015","109.216934","X","base year is 2015","124.427152","X","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","51.662499","F","base year is 2015","53.065120","F","base year is 2015","54.338473","F","base year is 2015","56.401825","F","base year is 2015","59.125459","F","base year is 2015","54.671580","X","base year is 2015","59.557573","X","base year is 2015","65.842570","X","base year is 2015","69.450526","X","base year is 2015","75.993233","X","base year is 2015","76.287760","X","base year is 2015","80.642553","X","base year is 2015","90.751141","X","base year is 2015","91.824061","X","base year is 2015","96.715314","X","base year is 2015","103.431582","X","base year is 2015","104.788510","X","base year is 2015","110.295114","X","base year is 2015","112.751259","X","base year is 2015","113.855735","X","base year is 2015","111.594188","X","base year is 2015","124.768956","F","base year is 2015"
"4","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","51.569575","F","base year is 2015","53.251941","F","base year is 2015","54.417682","F","base year is 2015","56.604683","F","base year is 2015","59.360466","F","base year is 2015","55.313228","X","base year is 2015","60.793535","X","base year is 2015","66.463180","X","base year is 2015","69.445266","X","base year is 2015","76.293020","X","base year is 2015","77.139785","X","base year is 2015","81.883774","X","base year is 2015","94.390654","X","base year is 2015","91.534794","X","base year is 2015","100.680910","X","base year is 2015","102.074654","X","base year is 2015","102.900381","X","base year is 2015","111.441665","X","base year is 2015","115.433559","X","base year is 2015","113.335053","X","base year is 2015","115.423040","X","base year is 2015",,,
