Entity,Code,Year,Healthy diet cost (% of average food expenditure)
Albania,ALB,2017,46.0068031
Algeria,DZA,2017,64.60500976
Angola,AGO,2017,102.9396071
Anguilla,AIA,2017,69.98223196
Antigua and Barbuda,ATG,2017,83.13350754
Argentina,ARG,2017,41.31834865
Armenia,ARM,2017,31.00409706
Aruba,ABW,2017,83.88510341
Australia,AUS,2017,33.45254083
Austria,AUT,2017,40.89328266
Azerbaijan,AZE,2017,34.42259283
Bahamas,BHS,2017,69.19911173
Bahrain,BHR,2017,66.30935835
Bangladesh,BGD,2017,77.35412319
Barbados,BRB,2017,143.3523141
Belarus,BLR,2017,48.27234256
Belgium,BEL,2017,34.85095711
Belize,BLZ,2017,118.7355716
Benin,BEN,2017,170.7722919
Bermuda,BMU,2017,35.45069445
Bhutan,BTN,2017,82.11626476
Bolivia,BOL,2017,65.99915392
Bonaire,,2017,108.7725955
Bosnia and Herzegovina,BIH,2017,54.23741878
Botswana,BWA,2017,29.97419035
Brazil,BRA,2017,63.33704097
British Virgin Islands,VGB,2017,43.81274098
Brunei,BRN,2017,93.29666423
Bulgaria,BGR,2017,63.48245473
Burkina Faso,BFA,2017,222.9658782
Burundi,BDI,2017,392.6788828
Cambodia,KHM,2017,116.539027
Cameroon,CMR,2017,155.303704
Canada,CAN,2017,46.88289067
Cape Verde,CPV,2017,75.39004581
Cayman Islands,CYM,2017,51.08599413
Central African Republic,CAF,2017,263.5025157
Chad,TCD,2017,165.7062802
Chile,CHL,2017,49.42392635
China,CHN,2017,131.1949342
Colombia,COL,2017,73.58955935
Comoros,COM,2017,90.58073281
Congo,COG,2017,176.2589206
Costa Rica,CRI,2017,62.90662372
Cote d'Ivoire,CIV,2017,91.62051781
Croatia,HRV,2017,50.49298014
Curacao,CUW,2017,62.07611549
Cyprus,CYP,2017,50.12614175
Czechia,CZE,2017,41.17649176
Democratic Republic of Congo,COD,2017,208.7415482
Denmark,DNK,2017,35.02507712
Djibouti,DJI,2017,147.709703
Dominica,DMA,2017,90.3571939
Dominican Republic,DOM,2017,51.96089413
Ecuador,ECU,2017,74.20553857
Egypt,EGY,2017,34.30442909
El Salvador,SLV,2017,86.98000382
